name_major,total:,25_to_39_years:,science_and_engineering,computers_mathematics_and_statistics,biological_agricultural_and_environmental_sciences,physical_and_related_sciences,psychology,social_sciences,engineering,multidisciplinary_studies,science_and_engineering_related_fields,business,education,arts_humanities_and_other,literature_and_languages,liberal_arts_and_history,visual_and_performing_arts,communications,other,40_to_64_years:,science_and_engineering,computers_mathematics_and_statistics,biological_agricultural_and_environmental_sciences,physical_and_related_sciences,psychology,social_sciences,engineering,multidisciplinary_studies,science_and_engineering_related_fields,business,education,arts_humanities_and_other,literature_and_languages,liberal_arts_and_history,visual_and_performing_arts,communications,other
mississippi_estimate,"54,066","49,578",,"55,202","50,823","31,079","47,792","60,263","69,648","52,336","58,068","54,331","41,658",,"38,605","42,894","38,602","44,106","46,185","59,248",,"75,218","77,095","74,157","47,039","55,511","107,021","72,188","70,238","66,602","46,428",,"59,583","55,418","46,330","54,818","53,203"
mississippi_margin_of_error,"±1,368","±1,483",,"±23,108","±2,769","±5,512","±4,402","±17,321","±9,720","±3,875","±3,485","±3,346","±1,709",,"±5,414","±3,543","±3,974","±8,656","±3,055","±2,984",,"±21,386","±14,761","±23,581","±6,533","±7,208","±22,307","±13,360","±5,693","±6,410","±2,581",,"±12,143","±8,604","±5,718","±3,205","±3,633"
missouri_estimate,"63,918","57,306",,"68,872","54,892","61,788","45,963","66,332","87,539","53,505","64,102","64,798","45,143",,"48,491","46,558","43,093","58,575","50,438","72,292",,"100,610","83,456","99,871","62,392","68,578","119,629","46,501","76,849","82,391","53,351",,"61,117","58,316","59,143","64,030","63,611"
missouri_margin_of_error,±654,"±1,158",,"±11,940","±2,508","±8,160","±4,872","±9,674","±3,124","±3,620","±3,554","±1,744","±1,510",,"±3,804","±5,143","±4,435","±3,850","±2,334","±1,302",,"±10,072","±7,155","±14,693","±4,231","±9,201","±4,401","±5,354","±3,888","±2,580","±2,172",,"±6,072","±6,632","±5,507","±5,561","±4,377"
montana_estimate,"60,096","52,168",,"71,258","53,263","51,551","53,521","46,685","83,894","41,890","60,765","59,493","44,133",,"44,672","46,206","37,243","45,071","44,420","66,091",,"93,611","76,653","66,856","54,832","66,890","94,883","54,524","71,858","69,163","52,551",,"55,063","69,988","51,158","61,860","56,987"
montana_margin_of_error,"±1,958","±1,948",,"±3,954","±5,970","±6,610","±16,411","±14,265","±6,346","±68,731","±8,159","±7,020","±6,959",,"±29,647","±3,875","±12,309","±8,184","±12,387","±3,538",,"±25,958","±13,583","±13,773","±8,256","±15,514","±6,192","±134,712","±8,765","±5,934","±5,857",,"±12,726","±10,977","±4,882","±22,111","±10,218"
nebraska_estimate,"64,905","58,584",,"69,792","59,573","78,485","55,234","50,978","76,820","46,227","61,722","65,130","50,743",,"53,995","56,866","42,284","50,273","55,725","74,921",,"117,601","89,601","85,030","66,838","72,003","115,404","53,023","80,626","84,958","61,295",,"66,445","74,829","52,005","54,218","57,673"
nebraska_margin_of_error,"±1,200","±1,629",,"±16,416","±4,827","±20,008","±7,789","±9,166","±11,640","±13,367","±2,235","±4,615","±1,622",,"±4,875","±10,192","±7,023","±15,215","±5,235","±2,535",,"±14,029","±8,842","±22,737","±10,424","±19,020","±9,977","±34,812","±5,211","±5,835","±2,397",,"±11,367","±21,206","±3,708","±7,281","±4,246"
nevada_estimate,"65,967","59,359",,"73,875","60,812","72,622","50,474","63,056","81,026","53,750","64,475","63,632","51,141",,"46,662","37,952","40,637","69,668","54,141","73,301",,"81,971","95,859","84,963","76,599","76,490","86,757","31,748","88,408","73,999","62,581",,"65,741","64,117","61,830","75,902","68,023"
nevada_margin_of_error,"±2,144","±2,233",,"±9,667","±10,978","±27,593","±6,396","±13,218","±8,020","±46,222","±6,645","±4,775","±1,273",,"±9,829","±13,444","±11,941","±10,341","±3,104","±2,071",,"±11,378","±21,279","±19,779","±5,670","±8,390","±14,692","±15,352","±10,307","±8,667","±2,187",,"±12,262","±10,624","±9,254","±13,323","±7,207"
new_hampshire_estimate,"76,929","68,184",,"84,025","62,292","77,774","56,110","68,284","92,974","80,870","72,898","80,129","50,097",,"57,242","53,622","40,463","61,724","63,065","85,413",,"126,534","86,500","101,782","65,989","91,702","136,174","104,288","83,125","85,777","68,894",,"70,888","77,360","74,013","79,214","71,947"
new_hampshire_margin_of_error,"±1,837","±3,003",,"±11,060","±7,487","±10,943","±10,588","±11,125","±7,999","±15,581","±2,009","±9,105","±4,689",,"±4,231","±8,208","±6,727","±5,968","±12,265","±2,646",,"±12,909","±14,080","±31,189","±5,777","±6,825","±12,901","±38,041","±8,000","±11,066","±6,289",,"±6,358","±17,489","±7,750","±12,586","±6,054"
new_jersey_estimate,"86,543","73,867",,"95,475","75,516","72,437","61,104","76,594","100,180","62,978","74,650","82,725","61,140",,"60,880","61,148","60,789","72,325","63,324","100,229",,"131,492","114,250","108,230","82,640","103,504","142,412","72,409","102,497","102,984","77,443",,"82,088","89,072","75,182","84,759","85,312"
new_jersey_margin_of_error,±992,±867,,"±6,150","±3,948","±3,334","±1,814","±4,880","±2,901","±11,316","±2,324","±2,657","±1,377",,"±3,425","±8,039","±4,903","±4,212","±3,023","±1,040",,"±7,322","±8,443","±8,512","±3,748","±3,702","±8,034","±14,091","±2,607","±2,339","±3,170",,"±5,593","±5,729","±5,439","±7,172","±4,218"
new_mexico_estimate,"64,419","56,948",,"73,382","60,151","66,155","46,575","53,439","77,362","33,750","62,345","60,434","45,613",,"47,459","55,361","43,699","46,946","60,006","72,989",,"101,304","96,502","116,123","65,885","62,628","105,492","66,070","82,594","85,658","59,911",,"61,589","59,782","51,499","69,262","55,360"
new_mexico_margin_of_error,"±1,558","±2,616",,"±17,606","±11,304","±28,865","±8,503","±4,593","±6,873","±31,510","±8,118","±5,205","±11,497",,"±11,291","±14,011","±4,824","±7,302","±8,047","±3,488",,"±13,141","±10,928","±23,248","±7,781","±8,607","±9,932","±52,878","±7,672","±8,408","±4,991",,"±13,662","±9,061","±5,907","±12,638","±11,050"
new_york_estimate,"80,342","72,125",,"89,964","71,987","70,486","60,994","81,588","89,557","63,991","75,637","77,466","62,873",,"66,954","65,001","58,134","70,303","62,930","89,852",,"106,989","103,852","97,086","84,325","101,486","115,341","78,066","91,997","91,748","77,467",,"85,451","82,854","71,194","86,427","71,198"
new_york_margin_of_error,±393,±701,,"±5,351","±2,723","±3,523","±2,112","±2,315","±2,791","±5,789","±1,505","±2,772","±1,966",,"±4,897","±4,469","±3,508","±2,969","±1,755","±1,245",,"±3,624","±3,861","±8,073","±3,869","±1,822","±6,297","±11,471","±2,011","±2,350","±3,019",,"±5,631","±4,552","±5,405","±5,705","±3,945"
north_carolina_estimate,"65,975","59,523",,"82,096","63,807","63,278","51,591","57,560","93,959","52,066","61,101","66,975","45,932",,"50,314","51,708","48,383","58,296","51,086","73,338",,"104,127","91,967","82,354","61,945","75,604","123,576","56,682","80,392","80,810","54,046",,"60,335","64,984","54,264","73,079","61,043"
north_carolina_margin_of_error,"±1,029","±1,264",,"±5,076","±3,004","±3,347","±3,711","±5,935","±5,365","±7,908","±1,895","±3,542","±1,442",,"±4,426","±4,267","±4,135","±6,377","±1,713","±1,482",,"±4,738","±6,828","±9,801","±2,781","±4,347","±7,068","±25,383","±3,523","±2,635","±2,206",,"±2,887","±3,532","±4,134","±8,716","±1,597"
north_dakota_estimate,"61,996","56,707",,"74,766","58,769","65,282","53,754","54,432","68,822","45,994","58,860","60,238","49,603",,"54,589","46,055","51,536","50,737","62,806","68,738",,"89,667","82,507","101,827","65,472","57,481","109,972",-,"67,637","77,267","63,815",,"59,949","66,964","54,690","66,883","63,003"
north_dakota_margin_of_error,"±1,677","±1,979",,"±9,576","±7,907","±29,379","±22,380","±11,541","±13,955","±18,834","±2,391","±6,526","±3,507",,"±18,187","±8,088","±35,761","±1,471","±6,691","±3,712",,"±46,243","±16,625","±77,863","±49,413","±21,626","±55,828",**,"±6,575","±9,880","±3,830",,"±20,305","±31,777","±12,699","±26,535","±6,741"
ohio_estimate,"70,742","60,840",,"78,926","58,252","60,023","49,185","60,992","84,890","58,916","64,688","70,180","50,749",,"49,865","52,745","42,701","54,558","52,706","80,415",,"104,727","89,883","96,513","66,377","86,062","121,262","64,915","80,304","85,609","70,845",,"67,329","63,152","58,653","69,322","64,657"
ohio_margin_of_error,±568,±658,,"±5,836","±3,511","±4,326","±3,315","±2,951","±2,207","±9,007","±2,037","±2,130","±1,317",,"±3,535","±4,662","±2,672","±2,727","±2,481",±650,,"±4,013","±3,529","±7,039","±4,477","±6,906","±5,234","±6,558","±2,029","±2,268","±1,227",,"±6,086","±3,957","±5,075","±2,762","±2,597"
oklahoma_estimate,"60,342","53,548",,"63,888","59,266","54,525","41,809","54,556","76,970","46,045","57,082","63,298","44,919",,"43,738","47,360","39,384","53,798","49,385","66,035",,"91,087","91,341","80,215","56,364","66,622","100,654","71,952","75,650","74,644","50,820",,"62,124","58,840","50,763","55,740","58,590"
oklahoma_margin_of_error,±858,"±1,137",,"±11,961","±5,149","±12,303","±3,309","±4,666","±4,957","±16,385","±3,567","±2,987","±1,047",,"±5,079","±7,984","±3,478","±6,823","±3,019","±1,495",,"±12,353","±6,479","±14,177","±4,035","±6,350","±7,061","±20,139","±3,364","±3,068","±1,206",,"±10,702","±4,994","±2,305","±5,339","±4,252"
