,state,education,degree,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39,age_range,sex
14,California,Some_college_or_associates_degree,,47535.0,425.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6725.548387096775,13451.09677419355,145.9797467389443,17517.569608673315,20.0,-920682.5696086733,30017.430391326685,933182.4303913267,,total
220,California,Bachelors_degree,Combined_25_to_39_years,76005.0,652.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-1632399.470763194,39710.529236805975,1331795.529236806,25_to_39_years,
222,California,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,74495.0,1749.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-1600689.470763194,38200.529236805975,1304615.529236806,25_to_39_years,
229,California,Bachelors_degree,Business,78489.0,2271.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-1684563.470763194,42194.529236805975,1376507.529236806,25_to_39_years,
234,California,Bachelors_degree,Communications,70378.0,2530.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-1514232.470763194,34083.529236805975,1230509.529236806,25_to_39_years,
221,California,Bachelors_degree,Computers_Mathematics_and_Statistics,106581.0,3074.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-2274495.470763194,70286.52923680597,1882163.529236806,25_to_39_years,
230,California,Bachelors_degree,Education,55837.0,2839.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-1208871.470763194,19542.529236805975,968771.529236806,25_to_39_years,
226,California,Bachelors_degree,Engineering,116465.0,3760.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-2482059.470763194,80170.52923680597,2060075.529236806,25_to_39_years,
232,California,Bachelors_degree,Liberal_Arts_and_History,63722.0,1947.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-1374456.470763194,27427.529236805975,1110701.529236806,25_to_39_years,
231,California,Bachelors_degree,Literature_and_Languages,63706.0,2175.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-1374120.470763194,27411.529236805975,1110413.529236806,25_to_39_years,
227,California,Bachelors_degree,Multidisciplinary_Studies,74142.0,4052.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-1593276.470763194,37847.529236805975,1298261.529236806,25_to_39_years,
235,California,Bachelors_degree,Other,60909.0,1119.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-1315383.470763194,24614.529236805975,1060067.529236806,25_to_39_years,
223,California,Bachelors_degree,Physical_and_Related_Sciences,80828.0,5352.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-1733682.470763194,44533.529236805975,1418609.529236806,25_to_39_years,
224,California,Bachelors_degree,Psychology,63246.0,1776.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-1364460.470763194,26951.529236805975,1102133.529236806,25_to_39_years,
228,California,Bachelors_degree,Science_and_Engineering_Related_Fields,80368.0,1890.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-1724022.470763194,44073.529236805975,1410329.529236806,25_to_39_years,
225,California,Bachelors_degree,Social_Sciences,75405.0,1999.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-1619799.470763194,39110.529236805975,1320995.529236806,25_to_39_years,
233,California,Bachelors_degree,Visual_and_Performing_Arts,58721.0,3211.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-1269435.470763194,22426.529236805975,1020683.529236806,25_to_39_years,
15,Colorado,Less_than_high_school_graduate,,34357.0,1706.0,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,0.0,0.0,0.0,0.0,16.0,-515355.0,34357.0,824568.0,,total
16,Colorado,High_school_graduate_includes_equivalency,,42245.0,868.0,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,0.0,0.0,0.0,0.0,18.0,-718165.0,42245.0,929390.0,,total
17,Colorado,Some_college_or_associates_degree,,46542.0,821.0,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,6498.217391304348,12996.434782608696,141.04546937126398,16925.456324551677,20.0,-901223.4563245517,29616.543675448323,913914.5436754483,,total
236,Colorado,Bachelors_degree,Combined_25_to_39_years,67009.0,1019.0,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,6707.46875,26829.875,291.17464718949293,34940.95766273915,22.0,-1442129.957662739,32068.04233726085,1171221.042337261,25_to_39_years,
238,Colorado,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,59924.0,2755.0,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,6707.46875,26829.875,291.17464718949293,34940.95766273915,22.0,-1293344.957662739,24983.04233726085,1043691.0423372609,25_to_39_years,
245,Colorado,Bachelors_degree,Business,80460.0,2566.0,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,6707.46875,26829.875,291.17464718949293,34940.95766273915,22.0,-1724600.957662739,45519.04233726085,1413339.042337261,25_to_39_years,
250,Colorado,Bachelors_degree,Communications,63735.0,2369.0,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,6707.46875,26829.875,291.17464718949293,34940.95766273915,22.0,-1373375.957662739,28794.04233726085,1112289.042337261,25_to_39_years,
