,degree_age_range,state,degree,age_range,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,education,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
1619,25_to_39_years_Computers_Mathematics_and_Statistics,Wisconsin,Computers_Mathematics_and_Statistics,25_to_39_years,78653.0,7908.0,WI,60.372093023255815,7410.243902439024,45.0,5245.714285714285,77.11764705882354,7737.35294117647,Bachelors_degree,7410.243902439024,29640.975609756097,321.68247580441937,38601.89709653032,22,-1690314.8970965303,40051.10290346968,1377152.1029034697
1620,25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Wisconsin,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,58500.0,3003.0,WI,60.372093023255815,7410.243902439024,45.0,5245.714285714285,77.11764705882354,7737.35294117647,Bachelors_degree,7410.243902439024,29640.975609756097,321.68247580441937,38601.89709653032,22,-1267101.8970965303,19898.102903469677,1014398.1029034697
1621,25_to_39_years_Physical_and_Related_Sciences,Wisconsin,Physical_and_Related_Sciences,25_to_39_years,61158.0,4738.0,WI,60.372093023255815,7410.243902439024,45.0,5245.714285714285,77.11764705882354,7737.35294117647,Bachelors_degree,7410.243902439024,29640.975609756097,321.68247580441937,38601.89709653032,22,-1322919.8970965303,22556.102903469677,1062242.1029034697
1622,25_to_39_years_Psychology,Wisconsin,Psychology,25_to_39_years,51409.0,3361.0,WI,60.372093023255815,7410.243902439024,45.0,5245.714285714285,77.11764705882354,7737.35294117647,Bachelors_degree,7410.243902439024,29640.975609756097,321.68247580441937,38601.89709653032,22,-1118190.8970965303,12807.102903469677,886760.1029034697
1623,25_to_39_years_Social_Sciences,Wisconsin,Social_Sciences,25_to_39_years,61534.0,4305.0,WI,60.372093023255815,7410.243902439024,45.0,5245.714285714285,77.11764705882354,7737.35294117647,Bachelors_degree,7410.243902439024,29640.975609756097,321.68247580441937,38601.89709653032,22,-1330815.8970965303,22932.102903469677,1069010.1029034697
1624,25_to_39_years_Engineering,Wisconsin,Engineering,25_to_39_years,85767.0,3003.0,WI,60.372093023255815,7410.243902439024,45.0,5245.714285714285,77.11764705882354,7737.35294117647,Bachelors_degree,7410.243902439024,29640.975609756097,321.68247580441937,38601.89709653032,22,-1839708.8970965303,47165.10290346968,1505204.1029034697
1625,25_to_39_years_Multidisciplinary_Studies,Wisconsin,Multidisciplinary_Studies,25_to_39_years,60964.0,8883.0,WI,60.372093023255815,7410.243902439024,45.0,5245.714285714285,77.11764705882354,7737.35294117647,Bachelors_degree,7410.243902439024,29640.975609756097,321.68247580441937,38601.89709653032,22,-1318845.8970965303,22362.102903469677,1058750.1029034697
1626,25_to_39_years_Science_and_Engineering_Related_Fields,Wisconsin,Science_and_Engineering_Related_Fields,25_to_39_years,64572.0,2118.0,WI,60.372093023255815,7410.243902439024,45.0,5245.714285714285,77.11764705882354,7737.35294117647,Bachelors_degree,7410.243902439024,29640.975609756097,321.68247580441937,38601.89709653032,22,-1394613.8970965303,25970.102903469677,1123694.1029034697
1627,25_to_39_years_Business,Wisconsin,Business,25_to_39_years,69682.0,2847.0,WI,60.372093023255815,7410.243902439024,45.0,5245.714285714285,77.11764705882354,7737.35294117647,Bachelors_degree,7410.243902439024,29640.975609756097,321.68247580441937,38601.89709653032,22,-1501923.8970965303,31080.102903469677,1215674.1029034697
1628,25_to_39_years_Education,Wisconsin,Education,25_to_39_years,48960.0,1043.0,WI,60.372093023255815,7410.243902439024,45.0,5245.714285714285,77.11764705882354,7737.35294117647,Bachelors_degree,7410.243902439024,29640.975609756097,321.68247580441937,38601.89709653032,22,-1066761.8970965303,10358.102903469677,842678.1029034697
1629,25_to_39_years_Literature_and_Languages,Wisconsin,Literature_and_Languages,25_to_39_years,51807.0,3472.0,WI,60.372093023255815,7410.243902439024,45.0,5245.714285714285,77.11764705882354,7737.35294117647,Bachelors_degree,7410.243902439024,29640.975609756097,321.68247580441937,38601.89709653032,22,-1126548.8970965303,13205.102903469677,893924.1029034697
1630,25_to_39_years_Liberal_Arts_and_History,Wisconsin,Liberal_Arts_and_History,25_to_39_years,51913.0,2130.0,WI,60.372093023255815,7410.243902439024,45.0,5245.714285714285,77.11764705882354,7737.35294117647,Bachelors_degree,7410.243902439024,29640.975609756097,321.68247580441937,38601.89709653032,22,-1128774.8970965303,13311.102903469677,895832.1029034697
