State,Education,Major
Idaho,Bachelors_degree,Communications
Idaho,Bachelors_degree,Computers_Mathematics_and_Statistics
Idaho,Bachelors_degree,Education
Idaho,Bachelors_degree,Engineering
Idaho,Bachelors_degree,Liberal_Arts_and_History
Idaho,Bachelors_degree,Literature_and_Languages
Idaho,Bachelors_degree,Multidisciplinary_Studies
Idaho,Bachelors_degree,Other
Idaho,Bachelors_degree,Physical_and_Related_Sciences
Idaho,Bachelors_degree,Psychology
Idaho,Bachelors_degree,Science_and_Engineering_Related_Fields
Idaho,Bachelors_degree,Social_Sciences
Idaho,Bachelors_degree,Visual_and_Performing_Arts
Idaho,Less_than_high_school_graduate,
Idaho,High_school_graduate_includes_equivalency,
Idaho,Some_college_or_associates_degree,
Idaho,Bachelors_degree,Combined_25_to_39_years
Idaho,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Idaho,Bachelors_degree,Business
Idaho,Bachelors_degree,Communications
Idaho,Bachelors_degree,Computers_Mathematics_and_Statistics
Idaho,Bachelors_degree,Education
Idaho,Bachelors_degree,Engineering
Idaho,Bachelors_degree,Liberal_Arts_and_History
Idaho,Bachelors_degree,Literature_and_Languages
Idaho,Bachelors_degree,Multidisciplinary_Studies
Idaho,Bachelors_degree,Other
Idaho,Bachelors_degree,Physical_and_Related_Sciences
Idaho,Bachelors_degree,Psychology
Idaho,Bachelors_degree,Science_and_Engineering_Related_Fields
Idaho,Bachelors_degree,Social_Sciences
Idaho,Bachelors_degree,Visual_and_Performing_Arts
Illinois,Less_than_high_school_graduate,
Illinois,High_school_graduate_includes_equivalency,
Illinois,Some_college_or_associates_degree,
Illinois,Bachelors_degree,Combined_25_to_39_years
Illinois,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Illinois,Bachelors_degree,Business
Illinois,Bachelors_degree,Communications
Illinois,Bachelors_degree,Computers_Mathematics_and_Statistics
Illinois,Bachelors_degree,Education
Illinois,Bachelors_degree,Engineering
Illinois,Bachelors_degree,Liberal_Arts_and_History
Illinois,Bachelors_degree,Literature_and_Languages
Illinois,Bachelors_degree,Multidisciplinary_Studies
Illinois,Bachelors_degree,Other
Illinois,Bachelors_degree,Physical_and_Related_Sciences
Illinois,Bachelors_degree,Psychology
Illinois,Bachelors_degree,Science_and_Engineering_Related_Fields
Illinois,Bachelors_degree,Social_Sciences
Illinois,Bachelors_degree,Visual_and_Performing_Arts
Illinois,Less_than_high_school_graduate,
Illinois,High_school_graduate_includes_equivalency,
Illinois,Some_college_or_associates_degree,
Illinois,Bachelors_degree,Combined_25_to_39_years
Illinois,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Illinois,Bachelors_degree,Business
Illinois,Bachelors_degree,Communications
Illinois,Bachelors_degree,Computers_Mathematics_and_Statistics
Illinois,Bachelors_degree,Education
Illinois,Bachelors_degree,Engineering
Illinois,Bachelors_degree,Liberal_Arts_and_History
Illinois,Bachelors_degree,Literature_and_Languages
Illinois,Bachelors_degree,Multidisciplinary_Studies
Illinois,Bachelors_degree,Other
Illinois,Bachelors_degree,Physical_and_Related_Sciences
Illinois,Bachelors_degree,Psychology
Illinois,Bachelors_degree,Science_and_Engineering_Related_Fields
Illinois,Bachelors_degree,Social_Sciences
Illinois,Bachelors_degree,Visual_and_Performing_Arts
Indiana,Less_than_high_school_graduate,
Indiana,High_school_graduate_includes_equivalency,
Indiana,Some_college_or_associates_degree,
Indiana,Bachelors_degree,Combined_25_to_39_years
Indiana,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Indiana,Bachelors_degree,Business
Indiana,Bachelors_degree,Communications
Indiana,Bachelors_degree,Computers_Mathematics_and_Statistics
Indiana,Bachelors_degree,Education
Indiana,Bachelors_degree,Engineering
Indiana,Bachelors_degree,Liberal_Arts_and_History
Indiana,Bachelors_degree,Literature_and_Languages
Indiana,Bachelors_degree,Multidisciplinary_Studies
Indiana,Bachelors_degree,Other
Indiana,Bachelors_degree,Physical_and_Related_Sciences
Indiana,Bachelors_degree,Psychology
Indiana,Bachelors_degree,Science_and_Engineering_Related_Fields
Indiana,Bachelors_degree,Social_Sciences
Indiana,Bachelors_degree,Visual_and_Performing_Arts
Indiana,Less_than_high_school_graduate,
Indiana,High_school_graduate_includes_equivalency,
Indiana,Some_college_or_associates_degree,
Indiana,Bachelors_degree,Combined_25_to_39_years
Indiana,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Indiana,Bachelors_degree,Business
Indiana,Bachelors_degree,Communications
Indiana,Bachelors_degree,Computers_Mathematics_and_Statistics
Indiana,Bachelors_degree,Education
Indiana,Bachelors_degree,Engineering
Indiana,Bachelors_degree,Liberal_Arts_and_History
Indiana,Bachelors_degree,Literature_and_Languages
Indiana,Bachelors_degree,Multidisciplinary_Studies
Indiana,Bachelors_degree,Other
Indiana,Bachelors_degree,Physical_and_Related_Sciences
Indiana,Bachelors_degree,Psychology
Indiana,Bachelors_degree,Science_and_Engineering_Related_Fields
Indiana,Bachelors_degree,Social_Sciences
Indiana,Bachelors_degree,Visual_and_Performing_Arts
Iowa,Less_than_high_school_graduate,
Iowa,High_school_graduate_includes_equivalency,
Iowa,Some_college_or_associates_degree,
Iowa,Bachelors_degree,Combined_25_to_39_years
Iowa,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Iowa,Bachelors_degree,Business
Iowa,Bachelors_degree,Communications
Iowa,Bachelors_degree,Computers_Mathematics_and_Statistics
Iowa,Bachelors_degree,Education
Iowa,Bachelors_degree,Engineering
Iowa,Bachelors_degree,Liberal_Arts_and_History
Iowa,Bachelors_degree,Literature_and_Languages
