state,education,degree,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39,age_range,sex
Arkansas,Bachelors_degree,Liberal_Arts_and_History,42657,6293,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.8311396,33459.73676,22,-886599.7368,9197.263242,734366.2632,25_to_39_years,
Arkansas,Bachelors_degree,Literature_and_Languages,50121,11570,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.8311396,33459.73676,22,-1035879.737,16661.26324,868718.2632,25_to_39_years,
Arkansas,Bachelors_degree,Multidisciplinary_Studies,50461,14143,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.8311396,33459.73676,22,-1042679.737,17001.26324,874838.2632,25_to_39_years,
Arkansas,Bachelors_degree,Other,45047,2636,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.8311396,33459.73676,22,-934399.7368,11587.26324,777386.2632,25_to_39_years,
Arkansas,Bachelors_degree,Physical_and_Related_Sciences,61495,15767,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.8311396,33459.73676,22,-1263359.737,28035.26324,1073450.263,25_to_39_years,
Arkansas,Bachelors_degree,Psychology,42749,8863,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.8311396,33459.73676,22,-888439.7368,9289.263242,736022.2632,25_to_39_years,
Arkansas,Bachelors_degree,Science_and_Engineering_Related_Fields,61354,2049,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.8311396,33459.73676,22,-1260539.737,27894.26324,1070912.263,25_to_39_years,
Arkansas,Bachelors_degree,Social_Sciences,49192,4181,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.8311396,33459.73676,22,-1017299.737,15732.26324,851996.2632,25_to_39_years,
Arkansas,Bachelors_degree,Visual_and_Performing_Arts,43675,6740,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.8311396,33459.73676,22,-906959.7368,10215.26324,752690.2632,25_to_39_years,
California,Less_than_high_school_graduate,,30843,186,CA,40.59016393,6967.29697,33.48108108,6725.548387,0,0,0,0,16,-431802,30843,740232,,total
California,High_school_graduate_includes_equivalency,,38507,460,CA,40.59016393,6967.29697,33.48108108,6725.548387,0,0,0,0,18,-616112,38507,847154,,total
California,Some_college_or_associates_degree,,47535,425,CA,40.59016393,6967.29697,33.48108108,6725.548387,6725.548387,13451.09677,145.9797467,17517.56961,20,-873147.5696,30017.43039,933182.4304,,total
California,Bachelors_degree,Combined_25_to_39_years,76005,652,CA,40.59016393,6967.29697,33.48108108,6725.548387,6967.29697,27869.18788,302.453923,36294.47076,22,-1556394.471,39710.52924,1331795.529,25_to_39_years,
California,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,74495,1749,CA,40.59016393,6967.29697,33.48108108,6725.548387,6967.29697,27869.18788,302.453923,36294.47076,22,-1526194.471,38200.52924,1304615.529,25_to_39_years,
California,Bachelors_degree,Business,78489,2271,CA,40.59016393,6967.29697,33.48108108,6725.548387,6967.29697,27869.18788,302.453923,36294.47076,22,-1606074.471,42194.52924,1376507.529,25_to_39_years,
California,Bachelors_degree,Communications,70378,2530,CA,40.59016393,6967.29697,33.48108108,6725.548387,6967.29697,27869.18788,302.453923,36294.47076,22,-1443854.471,34083.52924,1230509.529,25_to_39_years,
California,Bachelors_degree,Computers_Mathematics_and_Statistics,106581,3074,CA,40.59016393,6967.29697,33.48108108,6725.548387,6967.29697,27869.18788,302.453923,36294.47076,22,-2167914.471,70286.52924,1882163.529,25_to_39_years,
California,Bachelors_degree,Education,55837,2839,CA,40.59016393,6967.29697,33.48108108,6725.548387,6967.29697,27869.18788,302.453923,36294.47076,22,-1153034.471,19542.52924,968771.5292,25_to_39_years,
California,Bachelors_degree,Engineering,116465,3760,CA,40.59016393,6967.29697,33.48108108,6725.548387,6967.29697,27869.18788,302.453923,36294.47076,22,-2365594.471,80170.52924,2060075.529,25_to_39_years,
California,Bachelors_degree,Liberal_Arts_and_History,63722,1947,CA,40.59016393,6967.29697,33.48108108,6725.548387,6967.29697,27869.18788,302.453923,36294.47076,22,-1310734.471,27427.52924,1110701.529,25_to_39_years,
California,Bachelors_degree,Literature_and_Languages,63706,2175,CA,40.59016393,6967.29697,33.48108108,6725.548387,6967.29697,27869.18788,302.453923,36294.47076,22,-1310414.471,27411.52924,1110413.529,25_to_39_years,
California,Bachelors_degree,Multidisciplinary_Studies,74142,4052,CA,40.59016393,6967.29697,33.48108108,6725.548387,6967.29697,27869.18788,302.453923,36294.47076,22,-1519134.471,37847.52924,1298261.529,25_to_39_years,
California,Bachelors_degree,Other,60909,1119,CA,40.59016393,6967.29697,33.48108108,6725.548387,6967.29697,27869.18788,302.453923,36294.47076,22,-1254474.471,24614.52924,1060067.529,25_to_39_years,
California,Bachelors_degree,Physical_and_Related_Sciences,80828,5352,CA,40.59016393,6967.29697,33.48108108,6725.548387,6967.29697,27869.18788,302.453923,36294.47076,22,-1652854.471,44533.52924,1418609.529,25_to_39_years,
California,Bachelors_degree,Psychology,63246,1776,CA,40.59016393,6967.29697,33.48108108,6725.548387,6967.29697,27869.18788,302.453923,36294.47076,22,-1301214.471,26951.52924,1102133.529,25_to_39_years,
California,Bachelors_degree,Science_and_Engineering_Related_Fields,80368,1890,CA,40.59016393,6967.29697,33.48108108,6725.548387,6967.29697,27869.18788,302.453923,36294.47076,22,-1643654.471,44073.52924,1410329.529,25_to_39_years,
California,Bachelors_degree,Social_Sciences,75405,1999,CA,40.59016393,6967.29697,33.48108108,6725.548387,6967.29697,27869.18788,302.453923,36294.47076,22,-1544394.471,39110.52924,1320995.529,25_to_39_years,
California,Bachelors_degree,Visual_and_Performing_Arts,58721,3211,CA,40.59016393,6967.29697,33.48108108,6725.548387,6967.29697,27869.18788,302.453923,36294.47076,22,-1210714.471,22426.52924,1020683.529,25_to_39_years,
Colorado,Less_than_high_school_graduate,,34357,1706,CO,44.09375,6707.46875,53.29166667,6498.217391,0,0,0,0,16,-480998,34357,824568,,total
Colorado,High_school_graduate_includes_equivalency,,42245,868,CO,44.09375,6707.46875,53.29166667,6498.217391,0,0,0,0,18,-675920,42245,929390,,total
Colorado,Some_college_or_associates_degree,,46542,821,CO,44.09375,6707.46875,53.29166667,6498.217391,6498.217391,12996.43478,141.0454694,16925.45632,20,-854681.4563,29616.54368,913914.5437,,total
Colorado,Bachelors_degree,Combined_25_to_39_years,67009,1019,CO,44.09375,6707.46875,53.29166667,6498.217391,6707.46875,26829.875,291.1746472,34940.95766,22,-1375120.958,32068.04234,1171221.042,25_to_39_years,
Colorado,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,59924,2755,CO,44.09375,6707.46875,53.29166667,6498.217391,6707.46875,26829.875,291.1746472,34940.95766,22,-1233420.958,24983.04234,1043691.042,25_to_39_years,
Colorado,Bachelors_degree,Business,80460,2566,CO,44.09375,6707.46875,53.29166667,6498.217391,6707.46875,26829.875,291.1746472,34940.95766,22,-1644140.958,45519.04234,1413339.042,25_to_39_years,
Colorado,Bachelors_degree,Communications,63735,2369,CO,44.09375,6707.46875,53.29166667,6498.217391,6707.46875,26829.875,291.1746472,34940.95766,22,-1309640.958,28794.04234,1112289.042,25_to_39_years,
Colorado,Bachelors_degree,Computers_Mathematics_and_Statistics,90114,9397,CO,44.09375,6707.46875,53.29166667,6498.217391,6707.46875,26829.875,291.1746472,34940.95766,22,-1837220.958,55173.04234,1587111.042,25_to_39_years,
Colorado,Bachelors_degree,Education,48184,3741,CO,44.09375,6707.46875,53.29166667,6498.217391,6707.46875,26829.875,291.1746472,34940.95766,22,-998620.9577,13243.04234,832371.0423,25_to_39_years,
Colorado,Bachelors_degree,Engineering,93554,2985,CO,44.09375,6707.46875,53.29166667,6498.217391,6707.46875,26829.875,291.1746472,34940.95766,22,-1906020.958,58613.04234,1649031.042,25_to_39_years,
Colorado,Bachelors_degree,Liberal_Arts_and_History,62406,4753,CO,44.09375,6707.46875,53.29166667,6498.217391,6707.46875,26829.875,291.1746472,34940.95766,22,-1283060.958,27465.04234,1088367.042,25_to_39_years,
Colorado,Bachelors_degree,Literature_and_Languages,51585,3992,CO,44.09375,6707.46875,53.29166667,6498.217391,6707.46875,26829.875,291.1746472,34940.95766,22,-1066640.958,16644.04234,893589.0423,25_to_39_years,
Colorado,Bachelors_degree,Multidisciplinary_Studies,58763,6444,CO,44.09375,6707.46875,53.29166667,6498.217391,6707.46875,26829.875,291.1746472,34940.95766,22,-1210200.958,23822.04234,1022793.042,25_to_39_years,
Colorado,Bachelors_degree,Other,62558,3110,CO,44.09375,6707.46875,53.29166667,6498.217391,6707.46875,26829.875,291.1746472,34940.95766,22,-1286100.958,27617.04234,1091103.042,25_to_39_years,
Colorado,Bachelors_degree,Physical_and_Related_Sciences,67253,5175,CO,44.09375,6707.46875,53.29166667,6498.217391,6707.46875,26829.875,291.1746472,34940.95766,22,-1380000.958,32312.04234,1175613.042,25_to_39_years,
Colorado,Bachelors_degree,Psychology,54295,2802,CO,44.09375,6707.46875,53.29166667,6498.217391,6707.46875,26829.875,291.1746472,34940.95766,22,-1120840.958,19354.04234,942369.0423,25_to_39_years,
Colorado,Bachelors_degree,Science_and_Engineering_Related_Fields,67357,3244,CO,44.09375,6707.46875,53.29166667,6498.217391,6707.46875,26829.875,291.1746472,34940.95766,22,-1382080.958,32416.04234,1177485.042,25_to_39_years,
Colorado,Bachelors_degree,Social_Sciences,73201,5375,CO,44.09375,6707.46875,53.29166667,6498.217391,6707.46875,26829.875,291.1746472,34940.95766,22,-1498960.958,38260.04234,1282677.042,25_to_39_years,
Colorado,Bachelors_degree,Visual_and_Performing_Arts,51710,3552,CO,44.09375,6707.46875,53.29166667,6498.217391,6707.46875,26829.875,291.1746472,34940.95766,22,-1069140.958,16769.04234,895839.0423,25_to_39_years,
Connecticut,Less_than_high_school_graduate,,31767,1063,CT,55.14814815,7916.615385,25.72727273,6185.555556,0,0,0,0,16,-444738,31767,762408,,total
Connecticut,High_school_graduate_includes_equivalency,,41610,793,CT,55.14814815,7916.615385,25.72727273,6185.555556,0,0,0,0,18,-665760,41610,915420,,total
Connecticut,Some_college_or_associates_degree,,49709,1754,CT,55.14814815,7916.615385,25.72727273,6185.555556,6185.555556,12371.11111,134.2590643,16111.08772,20,-910873.0877,33597.91228,978068.9123,,total
Connecticut,Bachelors_degree,Combined_25_to_39_years,71512,1495,CT,55.14814815,7916.615385,25.72727273,6185.555556,7916.615385,31666.46154,343.6643207,41239.71848,22,-1471479.718,30272.28152,1245976.282,25_to_39_years,
Connecticut,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,75037,6454,CT,55.14814815,7916.615385,25.72727273,6185.555556,7916.615385,31666.46154,343.6643207,41239.71848,22,-1541979.718,33797.28152,1309426.282,25_to_39_years,
Connecticut,Bachelors_degree,Business,80851,2671,CT,55.14814815,7916.615385,25.72727273,6185.555556,7916.615385,31666.46154,343.6643207,41239.71848,22,-1658259.718,39611.28152,1414078.282,25_to_39_years,
Connecticut,Bachelors_degree,Communications,70716,9711,CT,55.14814815,7916.615385,25.72727273,6185.555556,7916.615385,31666.46154,343.6643207,41239.71848,22,-1455559.718,29476.28152,1231648.282,25_to_39_years,
Connecticut,Bachelors_degree,Computers_Mathematics_and_Statistics,80949,4758,CT,55.14814815,7916.615385,25.72727273,6185.555556,7916.615385,31666.46154,343.6643207,41239.71848,22,-1660219.718,39709.28152,1415842.282,25_to_39_years,
Connecticut,Bachelors_degree,Education,63127,3586,CT,55.14814815,7916.615385,25.72727273,6185.555556,7916.615385,31666.46154,343.6643207,41239.71848,22,-1303779.718,21887.28152,1095046.282,25_to_39_years,
Connecticut,Bachelors_degree,Engineering,94186,4177,CT,55.14814815,7916.615385,25.72727273,6185.555556,7916.615385,31666.46154,343.6643207,41239.71848,22,-1924959.718,52946.28152,1654108.282,25_to_39_years,
Connecticut,Bachelors_degree,Liberal_Arts_and_History,66632,7338,CT,55.14814815,7916.615385,25.72727273,6185.555556,7916.615385,31666.46154,343.6643207,41239.71848,22,-1373879.718,25392.28152,1158136.282,25_to_39_years,
Connecticut,Bachelors_degree,Literature_and_Languages,58192,6757,CT,55.14814815,7916.615385,25.72727273,6185.555556,7916.615385,31666.46154,343.6643207,41239.71848,22,-1205079.718,16952.28152,1006216.282,25_to_39_years,
Connecticut,Bachelors_degree,Multidisciplinary_Studies,71408,5944,CT,55.14814815,7916.615385,25.72727273,6185.555556,7916.615385,31666.46154,343.6643207,41239.71848,22,-1469399.718,30168.28152,1244104.282,25_to_39_years,
