State,Education,Major,Age,Median Salary,Gross Salary,Profitability Age vs. HS no grad,Profitability Age vs. HS
District_of_Columbia,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,93784,59283.06213,22.93832038,23.42297613
District_of_Columbia,Bachelors_degree,Business,22,102628,68127.06213,22.59484705,22.95017785
District_of_Columbia,Bachelors_degree,Communications,22,77293,42792.06213,23.9012169,24.8818147
District_of_Columbia,Bachelors_degree,Computers_Mathematics_and_Statistics,22,104594,70093.06213,22.52912679,22.86229166
District_of_Columbia,Bachelors_degree,Education,22,70485,35984.06213,24.51156929,25.92413404
District_of_Columbia,Bachelors_degree,Engineering,22,112447,77946.06213,22.29676916,22.55791542
District_of_Columbia,Bachelors_degree,Liberal_Arts_and_History,22,97090,62589.06213,22.79978519,23.22950433
District_of_Columbia,Bachelors_degree,Literature_and_Languages,22,86784,52283.06213,23.28219042,23.9202436
District_of_Columbia,Bachelors_degree,Multidisciplinary_Studies,22,82696,48195.06213,23.52296841,24.28366868
District_of_Columbia,Bachelors_degree,Other,22,76995,42494.06213,23.92445653,24.91970356
District_of_Columbia,Bachelors_degree,Physical_and_Related_Sciences,22,80874,46373.06213,23.64204767,24.46828948
District_of_Columbia,Bachelors_degree,Psychology,22,71834,37333.06213,24.37591249,25.68367498
District_of_Columbia,Bachelors_degree,Science_and_Engineering_Related_Fields,22,77615,43114.06213,23.87641303,24.84152496
District_of_Columbia,Bachelors_degree,Social_Sciences,22,94380,59879.06213,22.91234146,23.38640286
District_of_Columbia,Bachelors_degree,Visual_and_Performing_Arts,22,73475,38974.06213,24.22150173,25.41624435
District_of_Columbia,Less_than_high_school_graduate,,39,26970,647280,,
District_of_Columbia,High_school_graduate_includes_equivalency,,39,38599,849178,,
District_of_Columbia,Some_college_or_associates_degree,,39,48566,953861.1606,,
District_of_Columbia,Bachelors_degree,Combined_25_to_39_years,39,89341,1573637.062,,
District_of_Columbia,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,93784,1653611.062,,
District_of_Columbia,Bachelors_degree,Business,39,102628,1812803.062,,
District_of_Columbia,Bachelors_degree,Communications,39,77293,1356773.062,,
District_of_Columbia,Bachelors_degree,Computers_Mathematics_and_Statistics,39,104594,1848191.062,,
District_of_Columbia,Bachelors_degree,Education,39,70485,1234229.062,,
District_of_Columbia,Bachelors_degree,Engineering,39,112447,1989545.062,,
