,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,2-3_year_pct_students_loans_avg,<2_year_pct_students_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,age_39,y_intercept,gross_at_starting_age,gross_at_39,age_of_profitability_high_school,gross_salary_at_proftability_high_school,age_of_profitability_less_than_high_school,gross_salary_at_proftability_less_than_high_school
254,Indiana,total,High_school_graduate_includes_equivalency,38553,630,IN,54.49056604,69,76.36666667,0,0,0,0,18,39,-616848,38553,848166,#DIV/0!,#DIV/0!,25.80073462,377847.7218
255,Indiana,total,Some_college_or_associates_degree,44403,656,IN,54.49056604,69,76.36666667,7986,15972,173.3381712,20800.58054,20,39,-820054.5805,23602.41946,867259.4195,34.73616761,722335.47,30.02168771,512998.4186
256,Indiana,total,Bachelors_degree,58609,1231,IN,54.49056604,69,76.36666667,6719.843137,26879.37255,291.7118257,35005.41908,22,39,-1207185.419,23603.58092,1019956.581,29.43445448,517938.5236,28.54153513,465605.4133
257,Indiana,total,Graduate_or_professional_degree,73559,2217,IN,54.49056604,69,76.36666667,0,0,0,0,26,39,-1765416,73559,1029826,32.8106039,648099.212,31.7079923,566992.2053
270,Iowa,total,Total,48569,620,IA,67.32352941,61.2,88,0,0,0,0,,,,48569,,,,,
271,Iowa,total,Less_than_high_school_graduate,32968,2066,IA,67.32352941,61.2,88,0,0,0,0,16,39,-461552,32968,791232,26.18946067,401862.1394,#DIV/0!,#DIV/0!
272,Iowa,total,High_school_graduate_includes_equivalency,39439,863,IA,67.32352941,61.2,88,0,0,0,0,18,39,-631024,39439,867658,#DIV/0!,#DIV/0!,26.18946067,401862.1394
273,Iowa,total,Some_college_or_associates_degree,45837,899,IA,67.32352941,61.2,88,6033.114286,12066.22857,130.9502876,15714.03451,20,39,-840780.0345,30122.96549,901025.9655,32.78462559,661968.8486,29.46833744,509960.1487
274,Iowa,total,Bachelors_degree,58561,1365,IA,67.32352941,61.2,88,7812.363636,31249.45455,339.138699,40696.64388,22,39,-1211916.644,17864.35612,1013401.356,30.37823679,567063.2807,29.31913585,505041.2708
275,Iowa,total,Graduate_or_professional_degree,73926,1640,IA,67.32352941,61.2,88,0,0,0,0,26,39,-1774224,73926,1034964,33.14872271,676328.4748,32.04922115,595046.723
288,Kansas,total,Total,47295,608,KS,66.32258065,39.27586207,74.81818182,0,0,0,0,,,,47295,,,,,
289,Kansas,total,Less_than_high_school_graduate,32838,1788,KS,66.32258065,39.27586207,74.81818182,0,0,0,0,16,39,-459732,32838,788112,33.18817064,630101.1473,#DIV/0!,#DIV/0!
290,Kansas,total,High_school_graduate_includes_equivalency,36659,834,KS,66.32258065,39.27586207,74.81818182,0,0,0,0,18,39,-586544,36659,806498,#DIV/0!,#DIV/0!,33.18817064,630101.1473
291,Kansas,total,Some_college_or_associates_degree,42026,612,KS,66.32258065,39.27586207,74.81818182,5274.517241,10549.03448,114.4847448,13738.16938,20,39,-770206.1694,28287.83062,826781.8306,34.22063898,667950.4042,33.79126789,649905.655
292,Kansas,total,Bachelors_degree,58583,1296,KS,66.32258065,39.27586207,74.81818182,6435.333333,25741.33333,279.3611096,33523.33316,22,39,-1205183.333,25059.66684,1020970.667,28.21744815,447879.4316,28.9551887,491098.4866
293,Kansas,total,Graduate_or_professional_degree,70216,2564,KS,66.32258065,39.27586207,74.81818182,0,0,0,0,26,39,-1685184,70216,983024,32.73951784,613653.9843,32.78538178,616874.3667
306,Kentucky,total,Total,43032,581,KY,57.58823529,29.68181818,66.27272727,0,0,0,0,,,,43032,,,,,
307,Kentucky,total,Less_than_high_school_graduate,27314,1182,KY,57.58823529,29.68181818,66.27272727,0,0,0,0,16,39,-382396,27314,655536,22.83961437,241445.227,#DIV/0!,#DIV/0!
308,Kentucky,total,High_school_graduate_includes_equivalency,35301,680,KY,57.58823529,29.68181818,66.27272727,0,0,0,0,18,39,-564816,35301,776622,#DIV/0!,#DIV/0!,22.83961437,241445.227
309,Kentucky,total,Some_college_or_associates_degree,40667,587,KY,57.58823529,29.68181818,66.27272727,5273.761905,10547.52381,114.4683501,13736.20201,20,39,-745742.202,26930.79799,799603.798,33.71714536,625432.9484,27.21082918,360840.5882
310,Kentucky,total,Bachelors_degree,55682,1551,KY,57.58823529,29.68181818,66.27272727,6866.8125,27467.25,298.0918408,35771.0209,22,39,-1149411.021,19910.9791,966504.9791,28.68333354,447734.3573,27.03803655,356120.9304
311,Kentucky,total,Graduate_or_professional_degree,67351,2115,KY,57.58823529,29.68181818,66.27272727,0,0,0,0,26,39,-1616424,67351,942914,32.81148206,593462.1282,30.82218947,459481.2833
324,Louisiana,total,Total,43207,748,LA,52.92592593,56.82142857,66.08333333,0,0,0,0,,,,43207,,,,,
