,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
309,Kentucky,total,Some_college_or_associates_degree,40667,587,KY,57.588235294117645,6866.8125,29.681818181818183,5273.761904761905,66.27272727272727,8381.9,5273.761904761905,10547.52380952381,114.46835007471601,13736.202008965922,20,-745742.202,26930.79799103408,799603.7979910341
310,Kentucky,total,Bachelors_degree,55682,1551,KY,57.588235294117645,6866.8125,29.681818181818183,5273.761904761905,66.27272727272727,8381.9,6866.8125,27467.25,298.0918408,35771.02089971988,22,-1149411.021,19910.97910028012,966504.9791002801
311,Kentucky,total,Graduate_or_professional_degree,67351,2115,KY,57.588235294117645,6866.8125,29.681818181818183,5273.761904761905,66.27272727272727,8381.9,0,0,0,0,26,-1616424,67351,942914
324,Louisiana,total,Total,43207,748,LA,52.925925925925924,6089.384615384615,56.82142857142857,6503.851851851852,66.08333333333333,6502.738095238095,0,0,0,0,,,43207,
325,Louisiana,total,Less_than_high_school_graduate,25977,890,LA,52.925925925925924,6089.384615384615,56.82142857142857,6503.851851851852,66.08333333333333,6502.738095238095,0,0,0,0,16,-363678,25977,623448
326,Louisiana,total,High_school_graduate_includes_equivalency,33568,1577,LA,52.925925925925924,6089.384615384615,56.82142857142857,6503.851851851852,66.08333333333333,6502.738095238095,0,0,0,0,18,-537088,33568,738496
327,Louisiana,total,Some_college_or_associates_degree,40916,730,LA,52.925925925925924,6089.384615384615,56.82142857142857,6503.851851851852,66.08333333333333,6502.738095238095,6503.851851851852,13007.703703703704,141.16776677757113,16940.132013308536,20,-753428.132,23975.867986691464,801379.8679866914
328,Louisiana,total,Bachelors_degree,55685,1818,LA,52.925925925925924,6089.384615384615,56.82142857142857,6503.851851851852,66.08333333333333,6502.738095238095,6089.384615384615,24357.53846153846,264.3432989510002,31721.19587412002,22,-1145421.196,23963.80412587998,970608.8041
329,Louisiana,total,Graduate_or_professional_degree,65857,2150,LA,52.925925925925924,6089.384615384615,56.82142857142857,6503.851851851852,66.08333333333333,6502.738095238095,0,0,0,0,26,-1580568,65857,921998
342,Maine,total,Total,45966,802,ME,57.73684210526316,7844.0526315789475,32.44444444444444,5897.888888888889,59.5,5769.75,0,0,0,0,,,45966,
